#convergence_speed
0 0
37.454998 0.0000000000000000 (0/7142)
97.479000 0.0001856837805218 (4/21542)
157.509998 0.0002627568448158 (10/38058)
217.522999 0.0002608137388653 (13/49844)
277.573994 0.0002659849570730 (18/67673)
337.611988 0.0002726529128420 (21/77021)
397.670002 0.0002599456280395 (24/92327)
457.715992 0.0002462657586406 (26/105577)
517.720020 0.0002404424140418 (28/116452)
577.741016 0.0002375642764635 (31/130491)
637.799976 0.0002339148124783 (33/141077)
697.804981 0.0002480095642663 (39/157252)
757.861012 0.0002493321460374 (42/168450)
817.902027 0.0002454940424876 (43/175157)
877.937977 0.0002447155046306 (45/183887)
937.949024 0.0002356198274085 (48/203718)
997.952991 0.0002349759269561 (49/208532)
1057.965015 0.0002323887327217 (52/223763)
1118.002979 0.0002250206268908 (54/239978)
1178.003956 0.0002264041939425 (58/256179)
1238.007984 0.0002239466111279 (60/267921)
1298.010059 0.0002311036644375 (64/276932)
1358.027027 0.0002290109756878 (68/296929)
1418.040943 0.0002327724164686 (72/309315)
1478.090992 0.0002503434399066 (80/319561)
1538.112965 0.0002499085156327 (84/336123)
1598.137989 0.0002499066440697 (87/348130)
1658.151051 0.0002571002998572 (92/357837)
1718.158985 0.0002544992793652 (95/373282)
1778.180958 0.0002570552485173 (98/381241)
1838.206959 0.0002558749911330 (101/394724)
1898.236012 0.0002531035313969 (105/414850)
1958.269947 0.0002529489437641 (109/430917)
2018.297047 0.0002607925395348 (116/444798)
2078.321949 0.0002583788572272 (119/460564)
2138.329029 0.0002563754862659 (121/471964)
2198.352955 0.0002531686589352 (125/493742)
2258.375904 0.0002494132896042 (127/509195)
2318.401051 0.0002427559004738 (129/531398)
2378.432056 0.0002437160043869 (132/541614)
2438.465992 0.0002483337170119 (137/551677)
2498.490894 0.0002474232634422 (140/565832)
2558.526051 0.0002484022045696 (144/579705)
2618.547047 0.0002497591005972 (148/592571)
2678.567066 0.0002483140781013 (152/612128)
2738.592945 0.0002514972955980 (156/620285)
2798.615894 0.0002546080071036 (160/628417)
2858.634937 0.0002570706102856 (165/641847)
2918.662037 0.0002617978427858 (170/649356)
2978.697926 0.0002605519786137 (173/663975)
3038.755054 0.0002659558661841 (179/673044)
3098.757008 0.0002695220378210 (184/682690)
3158.799000 0.0002692503301522 (189/701949)
3218.857105 0.0002738753643520 (196/715654)
3278.876881 0.0002687412948965 (197/733047)
3338.884937 0.0002687366968650 (201/747944)
3398.934986 0.0002669068389947 (203/760565)
3458.983082 0.0002666911780889 (206/772429)
3519.029957 0.0002674919240477 (209/781332)
3579.090015 0.0002654060712891 (212/798776)
3639.139088 0.0002684191841789 (217/808437)
3699.167896 0.0002666692408494 (221/828742)
3759.217945 0.0002694749292926 (226/838668)
3819.239918 0.0002694595916978 (228/846138)
3879.258961 0.0002689922373227 (233/866196)
3939.309986 0.0002666410570736 (236/885085)
3999.318043 0.0002670614855994 (239/894925)
4059.322926 0.0002655790780990 (241/907451)
4119.362965 0.0002650072525454 (245/924503)
4179.367847 0.0002652178034640 (249/938851)
4239.372242 0.0002664997165797 (252/945592)
4299.382984 0.0002636265214533 (253/959691)
4359.446949 0.0002624183030077 (255/971731)
4419.465992 0.0002610545998731 (258/988299)
4479.479176 0.0002624582521082 (262/998254)
4539.522144 0.0002640691265467 (266/1007312)
4599.575855 0.0002629007765383 (268/1019396)
4659.633961 0.0002623264273472 (270/1029252)
4719.683765 0.0002652089144788 (276/1040689)
4779.686207 0.0002633843462221 (277/1051695)
4839.723804 0.0002656209523309 (283/1065428)
4899.735035 0.0002674159264755 (288/1076974)
4959.772144 0.0002637761425888 (289/1095626)
5019.826832 0.0002646447325729 (292/1103366)
5079.884937 0.0002650863327777 (295/1112845)
5139.916187 0.0002618792312075 (296/1130292)
5199.951832 0.0002614135984196 (298/1139956)
5259.985035 0.0002628688214947 (302/1148862)
5320.026051 0.0002626760575510 (305/1161126)
5380.071949 0.0002613826633705 (308/1178349)
5440.115894 0.0002618114171526 (313/1195517)
5500.138844 0.0002633610166067 (318/1207468)
5560.191090 0.0002645441788779 (322/1217188)
5620.223804 0.0002659071812121 (325/1222231)
5680.260914 0.0002658979405880 (328/1233556)
5740.316090 0.0002651608308586 (331/1248299)
5800.353199 0.0002666874090207 (336/1259902)
5860.375172 0.0002659307419075 (339/1274768)
5920.424976 0.0002652888196276 (342/1289161)
5980.461109 0.0002647317461706 (345/1303206)
6040.463062 0.0002662287671181 (351/1318415)
6100.471851 0.0002655996662748 (354/1332833)
6160.520191 0.0002642633750948 (357/1350925)
6220.567066 0.0002666684249200 (364/1364991)
6280.600758 0.0002659472600567 (368/1383733)
6340.640797 0.0002671135268295 (373/1396410)
6400.660816 0.0002698495659683 (380/1408192)
6460.693043 0.0002689627518190 (383/1423989)
6520.724781 0.0002680034437748 (386/1440280)
6580.764820 0.0002684187799783 (391/1456679)
6640.799000 0.0002689632725544 (395/1468602)
6700.854176 0.0002707141926472 (401/1481267)
6760.895191 0.0002716212899994 (404/1487365)
6820.939137 0.0002720735463357 (409/1503270)
6880.943043 0.0002723291793792 (413/1516547)
6940.973804 0.0002743426879835 (420/1530932)
7001.031910 0.0002741969070072 (424/1546334)
7061.055836 0.0002716587097298 (425/1564463)
7121.079762 0.0002724413219183 (429/1574651)
7181.119801 0.0002713020804222 (432/1592321)
7241.124195 0.0002708506645515 (434/1602359)
7301.161793 0.0002698865303153 (437/1619199)
7361.195972 0.0002713694232205 (443/1632461)
7421.243824 0.0002722900319410 (449/1648977)
7481.252125 0.0002721521649014 (453/1664510)
7541.301929 0.0002722682271935 (456/1674819)
7601.353199 0.0002725177433393 (459/1684294)
7661.389820 0.0002732380718008 (463/1694493)
7721.427906 0.0002730314636537 (466/1706763)
7781.480152 0.0002727284886131 (469/1719659)
7841.504078 0.0002702092051653 (470/1739393)
7901.547047 0.0002710707466055 (474/1748621)
7961.585133 0.0002727598886777 (482/1767122)
8021.632984 0.0002716297054246 (485/1785519)
8081.675953 0.0002720574763060 (490/1801090)
8141.733082 0.0002730387499468 (494/1809267)
8201.771656 0.0002719839064332 (497/1827314)
8261.774586 0.0002699403529389 (498/1844852)
8321.813648 0.0002728399674965 (506/1854567)
8381.843922 0.0002727850550233 (509/1865938)
8441.880054 0.0002722626679397 (511/1876864)
8501.911304 0.0002732124703490 (516/1888640)
8561.926929 0.0002725707526320 (518/1900424)
8621.965015 0.0002730162342866 (523/1915637)
8681.995289 0.0002728859109056 (527/1931210)
8742.038258 0.0002721890573836 (530/1947176)
8802.079273 0.0002711890573692 (534/1969106)
8862.110523 0.0002717605436019 (538/1979684)
8922.163258 0.0002705273232596 (541/1999798)
8982.199390 0.0002701979162416 (543/2009638)
9042.247242 0.0002694869678866 (546/2026072)
9102.298023 0.0002689216242866 (549/2041487)
9162.299976 0.0002708834516615 (554/2045160)
9222.340992 0.0002701000684254 (555/2054794)
9282.368336 0.0002707509536827 (559/2064628)
9342.412281 0.0002700359983932 (562/2081204)
9402.437672 0.0002684791228920 (564/2100722)
9462.482594 0.0002675039335345 (567/2119595)
9522.487476 0.0002680457221446 (573/2137695)
9582.517750 0.0002688779787075 (578/2149674)
9642.553883 0.0002685651444116 (580/2159625)
9702.603687 0.0002694630741322 (586/2174695)
9762.650562 0.0002701674764072 (591/2187532)
9822.689625 0.0002699470621520 (593/2196727)
9882.690601 0.0002711907992523 (599/2208777)
9942.726734 0.0002703919873991 (601/2222699)
10002.767750 0.0002704554872736 (605/2236967)
10062.786304 0.0002705307475103 (608/2247434)
10122.834156 0.0002714774474753 (614/2261698)
10182.871265 0.0002703535565120 (615/2274799)
10242.920094 0.0002699901964725 (618/2288972)
10302.953297 0.0002702710936579 (621/2297693)
10362.985523 0.0002712218065799 (626/2308074)
10423.010914 0.0002720853397828 (630/2315450)
10483.054859 0.0002723628095661 (635/2331449)
10543.099781 0.0002731588559595 (640/2342959)
10603.151539 0.0002728299938178 (643/2356779)
